Author,Title,Abstract,Journal,Year
"Ruddy JD, Shield AJ, Maniar N, et al",Predictive modeling of hamstring strain injuries in elite Au stralian Footballers,"Three of the most commonly identified hamstring strain injury (HSI) risk factors are age, previous HSI, and low levels of eccentric hamstring strength. However, no study has investigated the ability of these risk factors to predict the incidence of HSI in elite Australian footballers. Accordingly, the purpose of this prospective cohort study was to investigate the predictive ability of HSI risk factors using machine learning techniques.",Medicine and science in sports and exercise,2018
"Rossi A, Pappalardo L, Cintia P, et al",Effective injury forecasting in soccer with GPS training data and machine learning,"Injuries have a great impact on professional soccer, due to their large influence on team performance and the considerable costs of rehabilitation for players. Existing studies in the literature provide just a preliminary understanding of which factors mostly affect injury risk, while an evaluation of the potential of statistical models in forecasting injuries is still missing. In this paper, we propose a multi-dimensional approach to injury forecasting in professional soccer that is based on GPS measurements and machine learning. By using GPS tracking technology, we collect data describing the training workload of players in a professional soccer club during a season. We then construct an injury forecaster and show that it is both accurate and interpretable by providing a set of case studies of interest to soccer practitioners. Our approach opens a novel perspective on injury prevention, providing a set of simple and practical rules for evaluating and interpreting the complex relations between injury risk and training performance in professional soccer.",PloS one,2018
"Thornton HR, Delaney JA, Duthie GM, et al",Importance of various training- load measures in injury incidence of professional Rugby League athletes,To investigate the ability of various internal and external training-load (TL) monitoring measures to predict injury incidence among positional groups in professional rugby league athletes.,International journal of sports physiology and performance,2017
"Jaspers A, De Beéck TO, Brink MS, et al",Relationships between the external and internal training load in professional soccer: what can we learn from machine learning? Int J Sports Physiol Perform,"In professional senior soccer, training load monitoring is used to ensure an optimal workload to maximize physical fitness and prevent injury or illness. However, to date, different training load indicators are used without a clear link to training outcomes.","Sports medicine (Auckland, N.Z.)",2017
"Goswami R, Dufort P, Tartaglia MC, et al",Frontotemporal correlates of impulsivity and machine learning in retired professional athletes with a history of multiple concussions,"The frontotemporal cortical network is associated with behaviours such as impulsivity and aggression. The health of the uncinate fasciculus (UF) that connects the orbitofrontal cortex (OFC) with the anterior temporal lobe (ATL) may be a crucial determinant of behavioural regulation. Behavioural changes can emerge after repeated concussion and thus we used MRI to examine the UF and connected gray matter as it relates to impulsivity and aggression in retired professional football players who had sustained multiple concussions. Behaviourally, athletes had faster reaction times and an increased error rate on a go/no-go task, and increased aggression and mania compared to controls. MRI revealed that the athletes had (1) cortical thinning of the ATL, (2) negative correlations of OFC thickness with aggression and task errors, indicative of impulsivity, (3) negative correlations of UF axial diffusivity with error rates and aggression, and (4) elevated resting-state functional connectivity between the ATL and OFC. Using machine learning, we found that UF diffusion imaging differentiates athletes from healthy controls with significant classifiers based on UF mean and radial diffusivity showing 79-84 % sensitivity and specificity, and 0.8 areas under the ROC curves. The spatial pattern of classifier weights revealed hot spots at the orbitofrontal and temporal ends of the UF. These data implicate the UF system in the pathological outcomes of repeated concussion as they relate to impulsive behaviour. Furthermore, a support vector machine has potential utility in the general assessment and diagnosis of brain abnormalities following concussion.",Brain structure & function,2016
"Wu LC, Kuo C, Loza J, et al",Detection of American football head impacts using biomechanical features and support vector machine classification,"Accumulation of head impacts may contribute to acute and long-term brain trauma. Wearable sensors can measure impact exposure, yet current sensors do not have validated impact detection methods for accurate exposure monitoring. Here we demonstrate a head impact detection method that can be implemented on a wearable sensor for detecting field football head impacts. Our method incorporates a support vector machine classifier that uses biomechanical features from the time domain and frequency domain, as well as model predictions of head-neck motions. The classifier was trained and validated using instrumented mouthguard data from collegiate football games and practices, with ground truth data labels established from video review. We found that low frequency power spectral density and wavelet transform features (10~30 Hz) were the best performing features. From forward feature selection, fewer than ten features optimized classifier performance, achieving 87.2% sensitivity and 93.2% precision in cross-validation on the collegiate dataset (n = 387), and over 90% sensitivity and precision on an independent youth dataset (n = 32). Accurate head impact detection is essential for studying and monitoring head impact exposure on the field, and the approach in the current paper may help to improve impact detection performance on wearable sensors.",Scientific reports,2017
"Whiteside D, Martini DN, Lepley AS, et al",Predictors of ulnar collateral ligament reconstruction in Major League Baseball pitchers,"Ulnar collateral ligament (UCL) reconstruction surgeries in Major League Baseball (MLB) have increased significantly in recent decades. Although several risk factors have been proposed, a scientific consensus is yet to be reached, providing challenges to those tasked with preventing UCL injuries.",The American journal of sports medicine,2016
"Lapham AC, Bartlett RM",The use of artificial intelligence in the analysis of sports performance: a review of applications in human gait analysis and future directions for sports biomechanics,"Computers have played an important supporting role in the development of experimental and theoretical sports biomechanics. The role of the computer now extends from data capture and data processing through to mathematical and statistical modelling and simulation and optimization. This paper seeks to demonstrate that elevation of the role of the computer to involvement in the decision-making process, through the use of artificial intelligence techniques, would be a potentially rewarding future direction for the discipline. In the absence of significant previous work in this area, this paper reviews experiences in a parallel field of medical informatics, namely gait analysis. Research into the application of expert systems and neural networks to gait analysis is reviewed, observations made and comparisons drawn with the biomechanical analysis of sports performance. Brief explanations of the artificial intelligence techniques discussed in the paper are provided. The paper concludes that the creation of an expert system for a specific well-defined sports technique would represent a significant advance in the development of sports biomechanics.",Journal of sports sciences,1995
"Zelic I, Kononenko I, Lavrac N, et al",Induction of decision trees and Bayesian classification applied to diagnosis of sport injuries,"Machine learning techniques can be used to extract knowledge from data stored in medical databases. In our application, various machine learning algorithms were used to extract diagnostic knowledge which may be used to support the diagnosis of sport injuries. The applied methods include variants of the Assistant algorithm for top-down induction of decision trees, and variants of the Bayesian classifier. The available dataset was insufficient for reliable diagnosis of all sport injuries considered by the system. Consequently, expert-defined diagnostic rules were added and used as pre-classifiers or as generators of additional training instances for diagnoses for which only few training examples were available. Experimental results show that the classification accuracy and the explanation capability of the naive Bayesian classifier with the fuzzy discretization of numerical attributes were superior to other methods and estimated as the most appropriate for practical use.",Journal of medical systems,1997
"Miko łajec K, Maszczyk A, Zaj ąc T",Game indicators determining sports performance in the NBA,,,
"Leite N, Coelho E, Sampaio J",Assessing the importance given by basketball coaches to training contents,"The purpose of this study was to compare the importance given by novice, intermediate and experienced basketball coaches to training contents. To achieve this purpose, a sample composed of Portuguese basketball coaches (n = 212) described how they rate the importance of technical, tactical, physical and drill contents. According to the results, there is a wide-ranging differential from novice to experienced coaches. First, while experienced coaches tend to focus on tactical development, novice and intermediate coaches seem to privilege the improvement of technical skills. Second, whereas significant differences between novice and intermediate coaches were found, evidence confirmed that they were higher (both in number and weight) when comparing experienced coaches against novice and intermediate. The study provided strong support to justify the necessity to adjust coaches' knowledge to players' biological developmental, and could form the basis of focused interventions in coaching development.",Journal of human kinetics,2011
"Przednowek K, Krzeszowski T, Przednowek KH, Lenik P",A system for analysing the basketball free throw trajectory based on particle swarm optimization,"This study aimed (1) to investigate the association between body mass index (BMI), physical activity (PA), and physical function (PF) with health-related quality of life (HRQoL), and (2) to examine in-depth whether PA and PF mediate the relationship between BMI and HRQoL in older adults. We investigated 802 individuals (mean age 69.8 ± 5.6 years), residents of the Autonomous Region of Madeira, Portugal. Harmol and PA were assessed using the SF-36 and Baecke questionnaires, respectively, and PF by the Senior Fitness Test. The prevalence of overweight was 71.3%, 26.5% for normal weight, and 2.1% for underweight. We verified a small correlation between age and sex with BMI, PA, PF, and medium borderline with HRQoL. After adjusting for covariates (i.e., sex, age, comorbidities), the multivariate regression analysis indicated a 93.1% chance of improvement in HRQoL for low BMI, while PA and PF revealed a chance of increasing HRQoL by 91.8% and 60.0%, respectively. According to the serial mediation pathway, PA and PF partially mediated the association between BMI and HRQoL by 32.3% and 81.5%, respectively. The total variance of the model was 90%. It was concluded that BMI can negatively affect HRQoL. On the other hand, PA and PF are able to increase HRQoL levels during the aging process.",International journal of environmental research and public health,2022
"de Loës M, Dahlstedt LJ, Thomée R",A 7-year study on risks and costs of knee injuries in male and female youth participants in 12 sports,,,
"Tirabassi J, Brou L, Khodaee M, et al",Epidemiology of high school sports- related injuries resulting in medical disqualification: 2005-2006 through 2013-2014 academic years,"Although rare, season- or career-ending injuries in young athletes are concerning because they can result in time lost from sport participation and school, social costs, and economic costs of medical care.",The American journal of sports medicine,2016
"Harmon KG, Asif IM, Maleszewsk i JJ, et al","Incidence, cause, and comparative frequency of sudden cardiac death in National Collegiate Athletic Association athletes: a decade in review",The incidence and cause of sudden cardiac death (SCD) in athletes is debated with hypertrophic cardiomyopathy often reported as the most common cause.,Circulation,2015
"Wasfy MM, Hutter AM, Weiner RB",Sudden cardiac death in athletes,"There are clear health benefits to exercise; even so, patients with cardiac conditions who engage in exercise and athletic competition may on rare occasion experience sudden cardiac death (SCD). This article reviews the epidemiology and common causes of SCD in specific athlete populations. There is ongoing debate about the optimal mechanism for SCD prevention, specifically regarding the inclusion of the ECG and/or cardiac imaging in routine preparticipation sports evaluation. This controversy and contemporary screening recommendations are also reviewed.",Methodist DeBakey cardiovascular journal,2016
"Malfait B, Dingenen B, Smeets A, et al",Knee and hip joint kinematics predict quadriceps and hamstrings neuromuscular activation patterns in drop jump landings,The purpose was to assess if variation in sagittal plane landing kinematics is associated with variation in neuromuscular activation patterns of the quadriceps-hamstrings muscle groups during drop vertical jumps (DVJ).,PloS one,2016
"Taylor JB, Ford KR, Nguyen AD, et al",Biomechanical comparison of single- and double-leg jump landings in the sagittal and frontal plane,"Double-leg forward or drop-jump landing activities are typically used to screen for high-risk movement strategies and to determine the success of neuromuscular injury prevention programs. However, research suggests that these tasks that occur primarily in the sagittal plane may not adequately represent the lower extremity biomechanics that occur during unilateral foot contact or non-sagittal plane movements that are characteristic of many multidirectional sports.",Orthopaedic journal of sports medicine,2016
Bahr R,Why screening tests to predict injury do not work-and probably never will …: a critical review,"This paper addresses if and how a periodic health examination to screen for risk factors for injury can be used to mitigate injury risk. The key question asked is whether it is possible to use screening tests to identify who is at risk for a sports injury-in order to address the deficit through a targeted intervention programme. The paper demonstrates that to validate a screening test to predict and prevent sports injuries, at least 3 steps are needed. First, a strong relationship needs to be demonstrated in prospective studies between a marker from a screening test and injury risk (step 1). Second, the test properties need to be examined in relevant populations, using appropriate statistical tools (step 2). Unfortunately, there is currently no example of a screening test for sports injuries with adequate test properties. Given the nature of potential screening tests (where test performance is usually measured on a continuous scale from low to high), substantial overlap is to be expected between players with high and low risk of injury. Therefore, although there are a number of tests demonstrating a statistically significant association with injury risk, and therefore help the understanding of causative factors, such tests are unlikely to be able to predict injury with sufficient accuracy. The final step needed is to document that an intervention programme targeting athletes identified as being at high risk through a screening programme is more beneficial than the same intervention programme given to all athletes (step 3). To date, there is no intervention study providing support for screening for injury risk.",British journal of sports medicine,2016
"Gaudet S, Begon M, Tremblay J",Cluster analysis using physical performance and self-report measures to identify shoulder injury in overhead female athletes,To evaluate the diagnostic validity of the Kerlan-Jobe orthopedic clinic shoulder and elbow score (KJOC) and the Closed kinetic upper extremity stability test (CKCUEST) to assess functional impairments associated with shoulder injury in overhead female athletic populations.,Journal of science and medicine in sport,2019
"Afonso J, Esteves F, Araújo R, et al",Tactical determinants of setting zone in elite men's volleyball,"The interactions between two opposing teams lead to the emergence of unique game patterns. In volleyball, attack efficacy emerges as the strongest predictor of the final result and thus it becomes of foremost importance to understand which game patterns afford the attaining of higher attack efficacies. These rely on the quality of the setting action. In turn, the serve and the serve reception constrain the setter's actions and the attacker's efficacy. Therefore, the purpose of this study was to examine predictors of the setting zone in elite-level men's volleyball. Thirty-one matches of the 2007 World Cup were analyzed, in total 5117 rallies. The dependent variable was the setting zone, and the independent variables were the server player, serve type, serve direction, serve depth, reception zone, receiver player and reception type. Multinomial logistic regression was applied, in order to obtain the estimated likelihood of occurrence of the dependent variable, based on the values of the independent variables (p < 0.05). Only the serve direction showed not to be predictive of the setting zone. Concerning the remaining variables, the tennis jump serve, serves from the middle-player, deep serves, reception near the endline or sidelines, reception by the zone 4 attackers when in defensive zone, and low reception all proved to impair the quality of reception, demanding the setter to play more often in the not acceptable setting zone. Results suggest that, at this level, practice of serve-reception should preferably cover the deep tennis jump serve, and attempt to afford the libero more opportunities to receive. By focusing on the variables with the most predictive power, performers may better allocate their attention towards the most pertinent cues at each moment. Knowledge of these interactive models provides valuable insights into the dynamics of the action sequences, affording coaches important information and guidance. Key pointsA set of key variables interact and allow predicting the setting zone, an important variable in determining attack efficacy in high-level men's volleyball.The tennis jump serve, deep serves, receptions near the endline or sidelines, serves from the middle-players, receptions by the zone 4 attackers when in defensive zone, and low reception enhance the utilization of non-ideal setting zones.By focusing on the variables with the most predictive power, performers may better allocate their attention towards the most pertinent cues at each moment.Knowledge of these interactive models provides valuable insights into the dynamics of the action sequences, affording coaches important information and guidance.",Journal of sports science & medicine,2012
"Wagner H, Finkenzeller T, Würth S, et al",Individual and team performance in team-handball: a review,"Team handball is a complex sport game that is determined by the individual performance of each player as well as tactical components and interaction of the team. The aim of this review was to specify the elements of team-handball performance based on scientific studies and practical experience, and to convey perspectives for practical implication. Scientific studies were identified via data bases of PubMed, Web of Knowledge, SPORT Discus, Google Scholar, and Hercules. A total of 56 articles met the inclusion criteria. In addition, we supplemented the review with 13 additional articles, proceedings and book sections. It was found that the specific characteristics of team-handball with frequent intensity changes, team-handball techniques, hard body confrontations, mental skills and social factors specify the determinants of coordination, endurance, strength and cognition. Although we found comprehensive studies examining individual performance in team-handball players of different experience level, sex or age, there is a lack of studies, particularly for team-handball specific training, as well as cognition and social factors. Key PointsThe specific characteristics of team-handball with frequent intensity changes, specific skills, hard body confrontations, mental skills and social factors define the determinants of coordination, endurance, strength and cognition.To increase individual and team performance in team-handball specific training based on these determinants have been suggested.Although there are comprehensive studies examining individual performance in team-handball players of different experience level, sex, or age are published, there is a lack of training studies, particularly for team-handball specific techniques and endurance, as well as cognition and social factors.",Journal of sports science & medicine,2014
"Carey DL, Crow J, Ong KL, et al",Optimizing preseason training loads in Australian Football,To investigate whether preseason training plans for Australian football can be computer generated using current training-load guidelines to optimize injury-risk reduction and performance improvement.,International journal of sports physiology and performance,2018
"Fortington LV, Berry J, Buttifant D, et al",Shorter time to first injury in first year professional football players: a cross-club comparison in the Australian Football League,"Australian Football League (AFL) players have a high risk of injury. Anecdotally, this injury risk is greater in emerging players (i.e. those in their first year), compared with established players (with 3+ years of experience). This study aimed to conduct the first comparison of injury risk and playing experience in these two player groups across a large number of AFL clubs.",Journal of science and medicine in sport,2016
"Stares J, Dawson B, Peeling P, et al",Identifying high risk loading conditions for in-season injury in elite Australian football players,To examine different timeframes for calculating acute to chronic workload ratio (ACWR) and whether this variable is associated with intrinsic injury risk in elite Australian football players.,Journal of science and medicine in sport,2018
Whiteley R,'Moneyball' and time to be honest about preseason screening: it is a sham making no inroads on the 1 billion dollar injury costs in baseball,,British journal of sports medicine,2016
Reider B,Moneyball,,The American journal of sports medicine,2014
"Navarro SM, Sokunbi OF, Haeberle HS, et al","Short-term outcomes following concussion in the NFL: a study of player longevity, performance, and financial loss","A short-term protocol for evaluation of National Football League (NFL) athletes incurring concussion has yet to be fully defined and framed in the context of the short-term potential team and career longevity, financial risk, and performance.",Orthopaedic journal of sports medicine,2017
"Halouani J, Chtourou H, Gabbett T, et al",Small-sided games in team sports training: a brief review,"Small-sided games (SSGs) incorporating skills, sport-specific movements, at intensities sufficient to promote aerobic adaptations, are being increasingly implemented in professional team sport environments. Small-sided games are often employed by coaches based on the premise that the greatest training benefits occur when training simulates the specific movement patterns and physiological demands of the sport. At present, there is relatively little information regarding how SSG can best be used to improve physical capacities and technical and tactical skills in team sports. It is possible that with some modifications (e.g., number of players, pitch size, coach encouragement, and wrestling), such games may be physiologically beneficial for athletes with relatively high initial aerobic fitness levels. For instance, it has been shown that 3-a-side soccer SSG resulted in higher intensity (i.e., greater overall distance, less jogging and walking, higher heart rate, and more tackling, dribbling, goal attempts, and passes) than 5-a-side SSG. Likewise, when player numbers were kept constant, a larger playing area increased the intensity of the SSG with a smaller playing area having the opposite effect. It has also been demonstrated that energy expenditure was similar between badminton and volleyball courts, but lower than that obtained in a basketball court. Moreover, it has been demonstrated in rugby that wrestling can increase the physical demands of SSG. Consistent coach encouragement can also increase training intensity, although most rule changes have trivial or no effect on exercise intensity. Further research is required to examine the optimal periodization strategies of SSG training for the long-term development of physiological capacity, technical skill, and tactical proficiency, while also minimizing the associated risk of injuries.",Journal of strength and conditioning research,2014
"Dalton-Barron NE, McLaren SJ, Black CJ, et al",Identifying contextual influences on training load: an example in professional Rugby Union,"Dalton-Barron, NE, McLaren, SJ, Black, CJ, Gray, M, Jones, B, and Roe, G. Identifying contextual influences on training load: an example in professional rugby union. J Strength Cond Res 35(2): 503-511, 2021-We aimed to investigate the contextual factors influencing training load (TL), as determined by session rating of perceived exertion (sRPE-TL), accumulated within a match-to-match microcycle in rugby union players. Session rating of perceived exertion-TL data were collected daily from 35 professional rugby union players from the same team in the English Championship over the course of an in-season period. Players were split by positional groups (backs and forwards) and sRPE-TL data were categorized as: field-based on-feet sRPE-TL (sRPEField-TL), gym-based sRPE-TL (sRPEGym-TL), and the total summation of both (sRPETotal-TL). Three 2-level linear mixed models were built for each dependent variable in each positional group, with magnitude-based inferences applied. Long between-match recovery cycles (≥7 days) resulted in very likely to almost certainly small to moderate increases in sRPE-TL for all modalities and positions (fixed effect [mean range] = 28.5%-42.0%), apart from sRPEField-TL for forwards. For backs, there was a very likely small decrease in sRPEField-TL as the season progressed (-16.7% per trimester). Losing the last league match was associated with very likely and almost certainly small decreases in sRPETotal-TL and sRPEGym-TL for backs (-20.7% and -36.4%, respectively). Losing the last match in any competition resulted in a very likely small increase in sRPEField-TL (21.2%) and a possibly small decrease sRPEGym-TL (-18.5%) for backs-with a likely smaller sRPEGym-TL for forwards (-33.4%). The strength of the upcoming opposition had no effect on sRPE-TL. Our findings highlight some of the multifactorial contextual factors that must be considered when planning and evaluating training microcycles.",Journal of strength and conditioning research,2021
"McLaren SJ, Weston M, Smith A, et al",Variability of physical performance and player match loads in professional rugby union,"The aims of this study were to establish sources of variability in match physical performance of professional soccer players and provide a method for monitoring individual between-match changes. Eleven players meeting the final inclusion criteria were monitored through an entire in-season competition phase (<i>n</i> = 240 individual match observations). Ten Hertz global positioning systems were used to measure match total distance (TD), total high-speed running distance (≥ 21 km·h<sup>-1</sup>; HSRD), total accelerations (TAcc) and maximum running velocity (<i>V</i><sub>max</sub>). Between-player, between-position, between-match and within-player variability were determined through linear mixed effects models. These data were then used to establish the practical significance of individual changes using a Minimum Effects Testing framework. All sources of variability were greater for HSRD (13-36%) when compared with all other metrics (<6%). Using combined between-match and within-player variability along with the smallest worthwhile change (0.2 × between-player SD), between-match individual changes of ±∼10-15% in TD, TAcc and <i>V</i><sub>max</sub> were established as practically significant. For HSRD, these thresholds were considerably higher (≥60%). In conclusion, the ability for soccer practitioners to identify meaningful changes in match physical performance can aid decision making around player management following competition. Our study provides a method to flag changes beyond the normal match-to-match variability and by a substantial magnitude. This may have implications for recovery but should be combined with other sources of data (internal load and response) and used only as an adjunct to practitioner domain knowledge/experience.",European journal of sport science,2021
"Oliveira WK, Jesus K, Andrade AD, et al",Monitoring training load in beach volleyball players: a case study with an Olympic team,,,
"Düking P, Achtzehn S, Holmberg HC, Sperlich B","Integrated framework of load monitoring by a combination of smartphone applications, wearables and point-of-care testing provides feedback that allows individual responsive adjustments to activities of daily living","Athletes schedule their training and recovery in periods, often utilizing a pre-defined strategy. To avoid underperformance and/or compromised health, the external load during training should take into account the individual's physiological and perceptual responses. No single variable provides an adequate basis for planning, but continuous monitoring of a combination of several indicators of internal and external load during training, recovery and off-training as well may allow individual responsive adjustments of a training program in an effective manner. From a practical perspective, including that of coaches, monitoring of potential changes in health and performance should ideally be valid, reliable and sensitive, as well as time-efficient, easily applicable, non-fatiguing and as non-invasive as possible. Accordingly, smartphone applications, wearable sensors and point-of-care testing appear to offer a suitable monitoring framework allowing responsive adjustments to exercise prescription. Here, we outline 24-h monitoring of selected parameters by these technologies that (i) allows responsive adjustments of exercise programs, (ii) enhances performance and/or (iii) reduces the risk for overuse, injury and/or illness.","Sensors (Basel, Switzerland)",2018
Austen K,What could derail the wearables revolution? Nature,,Nature,2015
